pid,block,technique,time,distance_num,distance,overshoot_number,overshoot_distance,longest_overshoot,number_technique_used,number_normal_used,total_interaction
P6,1,Traditional,2641,3944.5,short,0,0,0,0,3,3
P6,1,Traditional,3658,15055.5,long,1,518.5,518.5,0,9,9
P6,1,Traditional,3662,4055.5,short,0,0,0,0,7,7
P6,2,Traditional,3578,4055.5,short,0,0,0,0,4,4
P6,2,Traditional,2703,3944.5,short,0,0,0,0,4,4
P6,2,Traditional,3450,14944.5,long,1,675.5,675.5,0,9,9
P6,2,Traditional,3338,10055.5,medium,1,1424.5,1424.5,0,9,9
P6,2,Traditional,4126,15055.5,long,1,878.5,878.5,0,11,11
P6,3,Traditional,3883,14944.5,long,1,697.5,697.5,0,10,10
P6,3,Traditional,2638,4055.5,short,0,0,0,0,4,4
P6,3,Traditional,3139,15055.5,long,1,876.5,876.5,0,14,14
P6,3,Traditional,1913,3944.5,short,0,0,0,0,2,2
P6,3,Traditional,3684,9944.5,medium,1,2306.5,2306.5,0,23,23
P7,1,ForcePress,4471,9944.5,medium,1,983.5,983.5,3,1,4
P7,1,ForcePress,3963,15055.5,long,0,0,0,2,1,3
P7,1,ForcePress,2819,10055.5,medium,0,0,0,1,0,1
P7,1,ForcePress,2883,15055.5,long,0,0,0,1,0,1
P7,1,ForcePress,2828,3944.5,short,0,0,0,2,1,3
P7,2,ForcePress,3450,15055.5,long,0,0,0,2,0,2
P7,2,ForcePress,2876,14944.5,long,0,0,0,1,0,1
P7,2,ForcePress,2413,9944.5,medium,0,0,0,1,0,1
P7,2,ForcePress,1842,4055.5,short,0,0,0,1,0,1
P7,2,ForcePress,2283,10055.5,medium,0,0,0,1,0,1
P7,3,ForcePress,1954,4055.5,short,0,0,0,1,0,1
P7,3,ForcePress,1605,3944.5,short,0,0,0,1,0,1
P7,3,ForcePress,2472,14944.5,long,0,0,0,1,0,1
P7,3,ForcePress,2752,10055.5,medium,0,0,0,1,1,2
P7,3,ForcePress,2875,15055.5,long,0,0,0,1,0,1
P7,1,ForceScroll,8785,9944.5,medium,1,632.5,632.5,2,4,6
P7,1,ForceScroll,11298,15055.5,long,0,0,0,4,2,6
P7,1,ForceScroll,6021,10055.5,medium,0,0,0,1,3,4
P7,1,ForceScroll,5885,15055.5,long,0,0,0,2,1,3
P7,1,ForceScroll,3481,3944.5,short,1,347.5,347.5,1,2,3
P7,2,ForceScroll,6841,15055.5,long,0,0,0,2,1,3
P7,2,ForceScroll,6509,14944.5,long,0,0,0,2,1,3
P7,2,ForceScroll,8046,9944.5,medium,0,0,0,3,1,4
P7,2,ForceScroll,2372,4055.5,short,0,0,0,1,0,1
P7,2,ForceScroll,4075,10055.5,medium,0,0,0,1,2,3
P7,3,ForceScroll,3431,4055.5,short,0,0,0,1,1,2
P7,3,ForceScroll,2327,3944.5,short,0,0,0,1,0,1
P7,3,ForceScroll,5601,14944.5,long,0,0,0,2,1,3
P7,3,ForceScroll,6132,10055.5,medium,1,69.5,69.5,3,3,6
P7,3,ForceScroll,5635,15055.5,long,0,0,0,2,1,3
P7,1,Traditional,3231,9944.5,medium,0,0,0,0,3,3
P7,1,Traditional,4086,15055.5,long,1,916.5,916.5,0,13,13
P7,1,Traditional,3302,10055.5,medium,1,2.5,2.5,0,5,5
P7,1,Traditional,3318,15055.5,long,0,0,0,0,6,6
P7,1,Traditional,2818,3944.5,short,0,0,0,0,3,3
P7,2,Traditional,2510,15055.5,long,0,0,0,0,4,4
P7,2,Traditional,3039,14944.5,long,1,783.5,783.5,0,7,7
P7,2,Traditional,3721,9944.5,medium,0,0,0,0,10,10
P7,2,Traditional,2162,4055.5,short,0,0,0,0,7,7
P7,2,Traditional,2502,10055.5,medium,1,59.5,59.5,0,4,4
P7,3,Traditional,1857,4055.5,short,0,0,0,0,2,2
P7,3,Traditional,2440,3944.5,short,0,0,0,0,5,5
P7,3,Traditional,3148,14944.5,long,1,632.5,632.5,0,4,4
P7,3,Traditional,2438,10055.5,medium,0,0,0,0,11,11
P7,3,Traditional,3126,15055.5,long,1,999.5,999.5,0,6,6
P8,1,ForcePress,4556,9944.5,medium,0,0,0,1,3,4
P8,1,ForcePress,5073,15055.5,long,0,0,0,1,6,7
P8,1,ForcePress,3385,10055.5,medium,0,0,0,1,1,2
P8,1,ForcePress,4823,15055.5,long,0,0,0,1,3,4
P8,1,ForcePress,2234,3944.5,short,0,0,0,1,0,1
P8,2,ForcePress,3578,3944.5,short,0,0,0,2,1,3
P8,2,ForcePress,5370,10055.5,medium,1,1183.5,1183.5,3,7,10
P8,2,ForcePress,2596,4055.5,short,0,0,0,1,1,2
P8,2,ForcePress,5822,9944.5,medium,0,0,0,4,0,4
P8,2,ForcePress,4008,14944.5,long,0,0,0,1,0,1
P8,3,ForcePress,4128,14944.5,long,0,0,0,1,0,1
P8,3,ForcePress,2416,4055.5,short,0,0,0,1,0,1
P8,3,ForcePress,4396,15055.5,long,0,0,0,1,0,1
P8,3,ForcePress,2323,3944.5,short,0,0,0,1,0,1
P8,3,ForcePress,6148,9944.5,medium,1,373.5,373.5,4,1,5
P8,1,ForceScroll,5790,9944.5,medium,0,0,0,2,1,3
P8,1,ForceScroll,7146,15055.5,long,1,891.5,891.5,2,6,8
P8,1,ForceScroll,5088,10055.5,medium,0,0,0,1,8,9
P8,1,ForceScroll,7240,15055.5,long,1,887.5,887.5,2,10,12
P8,1,ForceScroll,6033,3944.5,short,1,3283.5,3283.5,1,17,18
P8,2,ForceScroll,4652,3944.5,short,1,2717.5,2717.5,1,17,18
P8,2,ForceScroll,4233,10055.5,medium,0,0,0,1,2,3
P8,2,ForceScroll,5497,4055.5,short,1,3348.5,3348.5,1,9,10
P8,2,ForceScroll,4619,9944.5,medium,0,0,0,1,10,11
P8,2,ForceScroll,6549,14944.5,long,0,0,0,2,12,14
P8,3,ForceScroll,7088,14944.5,long,1,598.5,598.5,2,3,5
P8,3,ForceScroll,4229,4055.5,short,1,2780.5,2780.5,1,3,4
P8,3,ForceScroll,6373,15055.5,long,1,876.5,876.5,2,5,7
P8,3,ForceScroll,2389,3944.5,short,0,0,0,1,0,1
P8,3,ForceScroll,4981,9944.5,medium,0,0,0,1,8,9
P8,1,Traditional,5848,9944.5,medium,1,1394.5,1394.5,0,21,21
P8,1,Traditional,4820,15055.5,long,0,0,0,0,19,19
P8,1,Traditional,3084,10055.5,medium,0,0,0,0,17,17
P8,1,Traditional,3784,15055.5,long,0,0,0,0,26,26
P8,1,Traditional,2514,3944.5,short,0,0,0,0,7,7
P8,2,Traditional,5171,3944.5,short,1,1023.5,1023.5,0,24,24
P8,2,Traditional,4790,10055.5,medium,1,1892.5,1892.5,0,21,21
P8,2,Traditional,3137,4055.5,short,0,0,0,0,10,10
P8,2,Traditional,3368,9944.5,medium,0,0,0,0,10,10
P8,2,Traditional,3626,14944.5,long,1,692.5,692.5,0,21,21
P8,3,Traditional,3829,14944.5,long,1,588.5,588.5,0,15,15
P8,3,Traditional,2382,4055.5,short,0,0,0,0,11,11
P8,3,Traditional,4844,15055.5,long,0,0,0,0,31,31
P8,3,Traditional,2147,3944.5,short,0,0,0,0,10,10
P8,3,Traditional,2798,9944.5,medium,0,0,0,0,13,13
P9,1,ForcePress,7485,15055.5,long,0,0,0,4,0,4
P9,1,ForcePress,5146,14944.5,long,0,0,0,3,0,3
P9,1,ForcePress,4767,9944.5,medium,0,0,0,3,0,3
P9,1,ForcePress,3971,4055.5,short,0,0,0,4,0,4
P9,1,ForcePress,5246,10055.5,medium,0,0,0,4,0,4
P9,2,ForcePress,4154,9944.5,medium,0,0,0,3,0,3
P9,2,ForcePress,4904,15055.5,long,0,0,0,2,0,2
P9,2,ForcePress,5160,10055.5,medium,0,0,0,4,0,4
P9,2,ForcePress,5210,15055.5,long,0,0,0,3,0,3
P9,2,ForcePress,3011,3944.5,short,0,0,0,4,0,4
P9,3,ForcePress,4786,14944.5,long,0,0,0,2,0,2
P9,3,ForcePress,3491,4055.5,short,0,0,0,3,0,3
P9,3,ForcePress,5440,15055.5,long,0,0,0,3,0,3
P9,3,ForcePress,2609,3944.5,short,0,0,0,2,0,2
P9,3,ForcePress,4109,9944.5,medium,0,0,0,3,0,3
P9,1,ForceScroll,11709,15055.5,long,0,0,0,1,5,6
P9,1,ForceScroll,9854,14944.5,long,0,0,0,1,24,25
P9,1,ForceScroll,16486,9944.5,medium,0,0,0,4,3,7
P9,1,ForceScroll,6640,4055.5,short,2,3223,2922.5,1,10,11
P9,1,ForceScroll,6835,10055.5,medium,0,0,0,1,6,7
P9,2,ForceScroll,6754,9944.5,medium,0,0,0,1,4,5
P9,2,ForceScroll,10580,15055.5,long,0,0,0,2,1,3
P9,2,ForceScroll,8791,10055.5,medium,0,0,0,1,9,10
P9,2,ForceScroll,11124,15055.5,long,0,0,0,1,22,23
P9,2,ForceScroll,5291,3944.5,short,1,1182.5,1182.5,1,3,4
P9,3,ForceScroll,6592,14944.5,long,0,0,0,2,1,3
P9,3,ForceScroll,6162,4055.5,short,1,64.5,64.5,1,2,3
P9,3,ForceScroll,7628,15055.5,long,0,0,0,2,2,4
P9,3,ForceScroll,6589,3944.5,short,1,498.5,498.5,1,2,3
P9,3,ForceScroll,8696,9944.5,medium,0,0,0,1,5,6
P9,1,Traditional,7437,15055.5,long,0,0,0,0,26,26
P9,1,Traditional,6270,14944.5,long,0,0,0,0,22,22
P9,1,Traditional,5560,9944.5,medium,0,0,0,0,23,23
P9,1,Traditional,4853,4055.5,short,0,0,0,0,13,13
P9,1,Traditional,4764,10055.5,medium,0,0,0,0,11,11
P9,2,Traditional,4965,9944.5,medium,0,0,0,0,19,19
P9,2,Traditional,5748,15055.5,long,0,0,0,0,19,19
P9,2,Traditional,6076,10055.5,medium,1,2621.5,2621.5,0,19,19
P9,2,Traditional,5041,15055.5,long,0,0,0,0,14,14
P9,2,Traditional,2947,3944.5,short,0,0,0,0,21,21
P9,3,Traditional,5700,14944.5,long,0,0,0,0,29,29
P9,3,Traditional,3258,4055.5,short,0,0,0,0,4,4
P9,3,Traditional,5485,15055.5,long,1,880.5,880.5,0,18,18
P9,3,Traditional,4313,3944.5,short,0,0,0,0,13,13
P9,3,Traditional,4563,9944.5,medium,0,0,0,0,19,19
