pid,block,technique,time,distance_num,distance,overshoot_number,overshoot_distance,longest_overshoot,number_technique_used,number_normal_used,total_interaction
P10,3,Traditional,2899,15055.5,long,1,876.5,876.5,0,19,19
P10,3,Traditional,2804,4055.5,short,0,0,0,0,15,15
P11,1,ForcePress,6226,14944.5,long,0,0,0,4,0,4
P11,1,ForcePress,2169,4055.5,short,0,0,0,2,0,2
P11,1,ForcePress,4209,15055.5,long,0,0,0,3,0,3
P11,1,ForcePress,5356,3944.5,short,1,1386.5,1386.5,5,0,5
P11,1,ForcePress,4262,9944.5,medium,0,0,0,3,0,3
P11,2,ForcePress,4653,4055.5,short,1,1739.5,1739.5,4,0,4
P11,2,ForcePress,2126,3944.5,short,0,0,0,2,0,2
P11,2,ForcePress,3476,14944.5,long,0,0,0,3,0,3
P11,2,ForcePress,3846,10055.5,medium,0,0,0,3,0,3
P11,2,ForcePress,3845,15055.5,long,0,0,0,3,0,3
P11,3,ForcePress,4695,15055.5,long,0,0,0,3,0,3
P11,3,ForcePress,4588,14944.5,long,1,259.5,259.5,5,0,5
P11,3,ForcePress,3182,9944.5,medium,0,0,0,3,0,3
P11,3,ForcePress,2063,4055.5,short,0,0,0,2,0,2
P11,3,ForcePress,2559,10055.5,medium,0,0,0,2,0,2
P11,1,ForceScroll,8330,14944.5,long,1,588.5,588.5,2,2,4
P11,1,ForceScroll,4510,4055.5,short,1,970.5,970.5,1,2,3
P11,1,ForceScroll,7501,15055.5,long,1,225.5,225.5,2,1,3
P11,1,ForceScroll,7446,3944.5,short,1,2132.5,2132.5,1,2,3
P11,1,ForceScroll,6821,9944.5,medium,1,473.5,473.5,2,1,3
P11,2,ForceScroll,11115,4055.5,short,1,3715.5,3715.5,2,5,7
P11,2,ForceScroll,6329,3944.5,short,1,880.5,880.5,1,1,2
P11,2,ForceScroll,5919,14944.5,long,0,0,0,2,0,2
P11,2,ForceScroll,5662,10055.5,medium,0,0,0,2,0,2
P11,2,ForceScroll,4817,15055.5,long,0,0,0,2,0,2
P11,3,ForceScroll,5936,15055.5,long,0,0,0,2,0,2
P11,3,ForceScroll,4486,14944.5,long,0,0,0,2,0,2
P11,3,ForceScroll,6405,9944.5,medium,1,941.5,941.5,3,0,3
P11,3,ForceScroll,3837,4055.5,short,1,680.5,680.5,1,1,2
P11,3,ForceScroll,5425,10055.5,medium,0,0,0,3,0,3
P11,1,Traditional,7435,14944.5,long,1,82.5,82.5,0,8,8
P11,1,Traditional,5088,4055.5,short,1,1342.5,1342.5,0,7,7
P11,1,Traditional,5611,15055.5,long,1,1006.5,1006.5,0,7,7
P11,1,Traditional,3229,3944.5,short,0,0,0,0,3,3
P11,1,Traditional,4580,9944.5,medium,0,0,0,0,7,7
P11,2,Traditional,3038,4055.5,short,0,0,0,0,4,4
P11,2,Traditional,4588,3944.5,short,0,0,0,0,5,5
P11,2,Traditional,4199,14944.5,long,1,321.5,321.5,0,20,20
P11,2,Traditional,2388,10055.5,medium,0,0,0,0,4,4
P11,2,Traditional,3632,15055.5,long,1,958.5,958.5,0,6,6
P11,3,Traditional,3683,15055.5,long,1,1021.5,1021.5,0,10,10
P11,3,Traditional,4661,14944.5,long,1,655.5,655.5,0,14,14
P11,3,Traditional,3974,9944.5,medium,0,0,0,0,10,10
P11,3,Traditional,3334,4055.5,short,0,0,0,0,3,3
P11,3,Traditional,2818,10055.5,medium,0,0,0,0,4,4
P12,1,ForcePress,7592,14944.5,long,1,291.5,291.5,4,3,7
P12,1,ForcePress,2372,4055.5,short,0,0,0,1,0,1
P12,1,ForcePress,4725,15055.5,long,0,0,0,2,0,2
P12,1,ForcePress,4504,3944.5,short,1,233.5,233.5,3,3,6
P12,1,ForcePress,3234,9944.5,medium,0,0,0,2,0,2
P12,2,ForcePress,4663,15055.5,long,0,0,0,1,0,1
P12,2,ForcePress,3199,14944.5,long,0,0,0,2,0,2
P12,2,ForcePress,3112,9944.5,medium,0,0,0,2,0,2
P12,2,ForcePress,1960,4055.5,short,0,0,0,1,0,1
P12,2,ForcePress,2333,10055.5,medium,0,0,0,1,0,1
P12,3,ForcePress,2233,10055.5,medium,0,0,0,1,0,1
P12,3,ForcePress,3682,9944.5,medium,0,0,0,3,2,5
P12,3,ForcePress,3309,3944.5,short,0,0,0,2,1,3
P12,3,ForcePress,2900,15055.5,long,0,0,0,1,0,1
P12,3,ForcePress,1797,4055.5,short,0,0,0,1,0,1
P12,1,ForceScroll,16483,14944.5,long,2,1120,588.5,4,3,7
P12,1,ForceScroll,6243,4055.5,short,1,235.5,235.5,1,3,4
P12,1,ForceScroll,7857,15055.5,long,1,715.5,715.5,2,2,4
P12,1,ForceScroll,3819,3944.5,short,0,0,0,1,0,1
P12,1,ForceScroll,6253,9944.5,medium,0,0,0,1,3,4
P12,2,ForceScroll,9082,15055.5,long,1,715.5,715.5,2,2,4
P12,2,ForceScroll,6135,14944.5,long,1,581.5,581.5,2,2,4
P12,2,ForceScroll,4456,9944.5,medium,0,0,0,1,3,4
P12,2,ForceScroll,5613,4055.5,short,1,1347.5,1347.5,1,3,4
P12,2,ForceScroll,5045,10055.5,medium,0,0,0,1,3,4
P12,3,ForceScroll,5285,10055.5,medium,0,0,0,1,3,4
